concept_name,score
Dependence on ventilator,27.382490752157832
"Magnetic resonance angiography, chest (excluding myocardium), with or without contrast material(s)",27.382490752157832
"Laryngoscopy, direct, operative, with excision of tumor and/or stripping of vocal cords or epiglottis; with operating microscope or telescope",19.01561857788738
Ventilator associated pneumonia,17.9290118020081
Chronic hypercapnic respiratory failure,17.114056720098645
Chronic respiratory failure,16.733744348540895
Tracheotomy tube change prior to establishment of fistula tract,15.212494862309905
Pneumonia due to Pseudomonas,14.91994688418856
Pressure ulcer,14.261713933415537
"Change Tracheostomy Device in Trachea, External Approach",13.54862823674476
Dependence on respirator,13.039281310551347
Tracheobronchoscopy through established tracheostomy incision,12.965194484923215
"Blood-derived hematopoietic progenitor cell harvesting for transplantation, per collection; autologous",12.67707905192492
Drug-induced hypotension,12.550308261405672
Cardiac magnetic resonance imaging for velocity flow mapping (List separately in addition to code for primary procedure),12.360152075626798
enalapril maleate 1 MG/ML Oral Solution [Epaned],12.360152075626798
10 ML calcium chloride 100 MG/ML Prefilled Syringe,12.287015081096461
"Tracheostomy, planned (separate procedure); younger than 2 years",11.409371146732429
Pressure ulcer stage 2,11.409371146732429
Pneumonia due to methicillin susceptible Staphylococcus aureus,11.409371146732429
dornase alfa 1 MG/ML Inhalation Solution,11.409371146732429
10 ML tranexamic acid 100 MG/ML Injection,11.409371146732429
fiber,11.409371146732429
4 ML norepinephrine 1 MG/ML Injection,11.409371146732427
Tracheostomy present,11.261197495476164
Chronic hypoxemic respiratory failure,10.738231667512874
Blasts/100 leukocytes in Cerebral spinal fluid,10.531727212368397
"Inspection of Trachea, Via Natural or Artificial Opening Endoscopic",10.45859021783806
Acute on chronic hypercapnic respiratory failure,10.431425048441078
Tracheostomy complication,10.268434032059186
Cardiogenic shock,9.731522448683544
Pressure ulcer of sacral region,9.654083278004363
enalapril maleate 1 MG/ML Oral Solution,9.654083278004363
"Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach",9.607891491985203
Acute tracheitis without obstruction,9.542383140903487
chromous chloride,9.50780928894369
Acute-on-chronic respiratory failure,9.478554491131558
"Cardiac magnetic resonance imaging for morphology and function without contrast material(s), followed by contrast material(s) and further sequences",9.270114056720098
"Change Feeding Device in Lower Intestinal Tract, External Approach",9.270114056720098
Acute on chronic hypoxemic respiratory failure,8.984879778051788
"Kidney function study, non-imaging radioisotopic study",8.96450590100405
bumetanide 0.25 MG/ML Injectable Solution,8.96450590100405
phenobarbital 4 MG/ML Oral Solution,8.692854207034232
Measurement finding outside reference range,8.557028360049323
Thrombosis of vein of lower limb,8.557028360049323
albumin human-kjda 50 MG/ML Injection,8.557028360049323
Delirium,8.451386034616615
Double outlet right ventricle,8.366872174270448
vasopressin (USP) 20 UNT/ML Injectable Solution,8.149550819094593
0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe,8.149550819094593
"albumin human, USP 250 MG/ML Injection",7.843942663378544
Anoxic encephalopathy,7.823568786330809
"Stenosis due to any device, implant AND/OR graft",7.606247431154952
Complication of external stoma of gastrointestinal tract,7.606247431154952
"Thrombus due to any device, implant AND/OR graft",7.440894226129846
Congestive heart failure,7.416091245376079
alteplase Injection,7.416091245376079
Hyaline casts [Presence] in Urine by Automated,7.382534271415101
